cpu,mem,time,io,net,lost
7,90,1017,172,1.329024,0
39,90,1021,171,2.298432,0
36,90,1026,171,2.362504,0
22,90,1030,171,1.97808,0
4,89,1035,171,1.88188,0
14,89,1039,171,1.761592,0
21,89,1044,171,2.723096,0
12,89,1049,171,1.937824,0
36,89,1054,171,2.274232,0
34,89,1058,170,2.426424,0
38,89,1063,170,2.506864,0
49,89,1067,170,2.097984,0
31,88,1072,170,2.530768,0
18,88,1077,169,2.779376,0
24,88,1082,170,2.266184,0
25,88,1087,170,2.514784,0
25,87,1091,169,2.578968,0
55,87,1096,169,2.586992,0
26,87,1100,169,2.715272,0
28,87,1105,168,2.707184,0
71,87,1111,169,2.418672,0
8,86,1115,169,2.506808,0
13,86,1120,169,2.442672,0
19,86,1125,169,2.603112,0
17,86,1129,168,2.466728,0
19,87,1134,167,2.667184,0
18,86,1139,167,2.378464,0
12,85,1143,167,2.6512,0
23,86,1148,167,2.514736,0
17,85,1153,167,2.667272,0
16,85,1157,167,2.546864,0
27,85,1162,167,2.73132,0
24,85,1167,167,2.66724,0
14,85,1171,166,2.619096,0
17,85,1176,166,2.571056,0
19,85,1181,166,2.619112,0
22,85,1185,166,2.691272,0
30,85,1190,166,2.59512,0
18,85,1195,166,2.595064,0
17,85,1199,166,2.498864,0
47,85,1204,166,2.715272,0
26,85,1209,166,3.011928,0
27,86,1214,165,2.667208,0
14,86,1219,165,2.571024,0
15,85,1224,165,2.595048,0
30,86,1228,165,3.524264,0
26,86,1233,165,2.707152,0
24,86,1237,165,3.188088,0
33,87,1242,165,2.490728,0
21,86,1246,165,2.8514,0
25,86,1251,164,2.651112,0
18,87,1256,164,2.52292,0
29,86,1261,164,2.611112,0
22,87,1266,164,2.482888,0
16,87,1271,164,2.61104,0
17,87,1275,164,2.579008,0
23,87,1280,164,2.618968,0
15,87,1294,163,2.651152,0
14,88,1299,163,4.90068,0
48,88,1303,163,2.73932,0
15,88,1308,163,3.003952,0
20,88,1313,163,2.442768,0
62,88,1319,163,3.212136,0
18,88,1323,163,2.627128,0
18,89,1328,163,3.01996,0
17,88,1333,163,2.11408,0
28,89,1337,162,2.899776,0
24,89,1342,162,2.699272,0
14,89,1346,162,2.707448,0
29,89,1351,162,2.603184,0
31,89,1355,162,2.490696,0
49,89,1360,162,2.995704,0
30,89,1364,162,2.923464,0
28,89,1368,162,2.803624,0
70,89,1373,162,2.466784,0
34,89,1377,161,2.691112,0
34,89,1382,161,3.764408,0
49,89,1386,161,2.178296,0
27,90,1391,161,2.08988,0
50,90,1397,161,2.402688,0
56,90,1401,161,2.122184,0
33,90,1406,161,2.154184,0
6,90,1411,162,1.649504,0
37,90,1415,162,1.75368,0
17,90,1420,162,1.8902,1
39,91,1425,161,2.314992,1
43,90,1429,161,2.267064,1
26,91,1434,161,2.403424,1
36,91,1438,161,2.748048,1
33,91,1443,161,1.946248,1
52,91,1448,161,2.363648,1
32,91,1454,161,1.842064,1
41,91,1459,161,2.972288,1
30,91,1463,161,2.916032,1
35,94,1468,160,1.938544,1
24,91,1473,160,3.060368,1
16,91,1478,160,2.123064,1
34,91,1483,160,2.476016,1
13,91,1496,160,2.291584,1
25,91,1501,160,2.259568,1
4,91,1506,159,1.818096,1
